sinr_dl_db,mcs_dl,packet_loss_ratio,prb_utilization,retransmissions,cqi,load_level,mobility_speed,shadowing_enabled,throughput_mbps_roll3,throughput_mbps_roll5,throughput_mbps_lag1,throughput_mbps_lag3,jitter_ms_roll3,jitter_ms_roll5,jitter_ms_lag1,jitter_ms_lag3,sinr_dl_db_roll3,sinr_dl_db_roll5,sinr_dl_db_lag1,sinr_dl_db_lag3,packet_loss_ratio_roll3,packet_loss_ratio_roll5,packet_loss_ratio_lag1,packet_loss_ratio_lag3,timestamp,ue_id,y_true,y_pred
-22.4799,0,0.92,3,325,0,2,0,1,0.3733120000000003,0.42046720000000004,0.795744,0.717152,100.50366999999999,71.01719800000001,7.74691,7.24168,-14.159236666666667,-16.013821999999998,-5.46791,-2.392,0.9041666666666668,0.8641,0.7975,0.635,7,5,20.3831,85.93419
-3.1136,2,0.818333,2,16,2,3,0,0,0.7269773333333337,0.5815816,0.314368,0.009824,11.073043333333333,62.768362,20.3831,273.381,-10.353803333333333,-9.596661999999998,-22.4799,-14.5299,0.8452776666666667,0.8331666,0.92,0.995,7,5,5.08912,2.6071475
-14.2242,0,0.903333,3,481,0,3,0,1,0.6516600000000002,0.5521096,1.07082,0.795744,11.493129999999999,63.12146,5.08912,7.74691,-13.272566666666664,-11.963102,-3.1136,-5.46791,0.8805553333333336,0.8868332000000001,0.818333,0.7975,7,5,9.00717,10.339841
89.0884,28,0.0,2,0,15,3,10,0,2.511670666666667,1.7290248,0.569792,0.314368,4.847141333333333,8.534286800000011,9.00717,20.3831,23.916866666666664,8.760558,-14.2242,-22.4799,0.5738886666666668,0.6878331999999999,0.903333,0.92,7,5,0.445134,0.21876402
89.0884,28,0.0,2,0,15,3,1,0,4.119530666666667,2.748756,5.8944,1.07082,3.299146,7.073931600000011,0.445134,5.08912,54.65086666666667,27.671819999999997,89.0884,-3.1136,0.30111100000000013,0.5283332,0.0,0.818333,7,5,0.445134,0.48150885
89.0884,28,0.0,2,0,15,3,3,0,5.8944,3.8647624,5.8944,0.569792,0.445134,3.0863384000000114,0.445134,9.00717,89.0884,49.985479999999995,89.0884,-14.2242,0.0,0.3443332,0.0,0.903333,7,5,0.445134,0.31145164
-21.0154,26,1.0,2,4,0,4,0,0,3.9296,3.6505984,5.8944,5.8944,1.253106,2.6423244000000112,0.445134,0.445134,52.38713333333334,46.40512,89.0884,89.0884,0.3333333333333335,0.38066659999999997,0.0,0.0,7,5,2.86905,5.2849364
-18.94,0,1.0,4,385,0,4,0,1,1.9648000000000003,3.53664,0.0,5.8944,5.1074280000000005,3.242510400000011,2.86905,0.445134,16.37766666666667,45.46195999999999,-21.0154,89.0884,0.6666666666666669,0.4,1.0,0.0,7,5,12.0081,7.534694
-6.37031,0,0.875,2,75,0,5,0,0,0.4093333333333336,2.60336,0.0,5.8944,7.352383333333333,4.589483600000011,12.0081,0.445134,-15.441903333333329,26.370217999999994,-18.94,89.0884,0.9583333333333335,0.575,1.0,0.0,7,5,7.18,2.0747848
-18.94,0,1.0,5,608,0,5,0,1,0.4093333333333336,1.42448,1.228,0.0,10.382966666666666,6.892616800000011,7.18,2.86905,-14.750103333333328,4.764537999999998,-6.37031,-21.0154,0.9583333333333335,0.775,0.875,1.0,7,5,11.9608,7.5160074
-9.54002,0,0.925,5,243,0,1,0,0,0.4584533333333336,0.275072,0.0,0.0,6.573917666666667,6.919780600000012,11.9608,12.0081,-11.616776666666661,-14.961146,-18.94,-18.94,0.9333333333333336,0.96,1.0,1.0,8,5,0.580953,12.931074
-20.1029,0,0.885,4,77,0,1,0,1,0.12443733333333362,0.3202624,0.14736,1.228,23.854184333333336,18.15013060000001,0.580953,7.18,-16.194306666666662,-14.778646,-9.54002,-6.37031,0.9366666666666669,0.937,0.925,0.875,8,5,59.0208,45.639744
-9.54002,0,0.9175,3,280,0,2,0,0,0.2325013333333336,0.38510079999999997,0.225952,0.0,26.395384333333336,19.665390600000013,59.0208,11.9608,-13.060979999999995,-12.89865,-20.1029,-18.94,0.9091666666666668,0.9205,0.885,1.0,8,5,19.5844,7.249394
